id;name;description;brand;price;manufacturing_date;expiring_date;warranty;image_link;image;image_content_type
1;Generic Steel Tuna;website calculating;cross-platform support;98666;2020-07-28T10:19:50;2020-07-28T20:11:39;wireless Computer;Legacy Dynamic magenta;../fake-data/blob/hipster.png;image/png
2;THX actuating;deposit Division Rustic Steel Soap;withdrawal navigating Metical;43291;2020-07-29T02:17:57;2020-07-28T20:55:18;Democratic People's Republic of Korea Internal compressing;withdrawal Bedfordshire;../fake-data/blob/hipster.png;image/png
3;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;4329;2020-07-29T03:36:43;2020-07-29T00:39:45;Licensed Wooden Computer;CFP Franc aggregate;../fake-data/blob/hipster.png;image/png
4;Security;Data Identity;Dynamic auxiliary;85535;2020-07-28T06:50:32;2020-07-28T07:52:53;Personal Loan Account yellow;Cape Verde;../fake-data/blob/hipster.png;image/png
5;intangible homogeneous;Crossroad invoice;Liaison;22423;2020-07-29T00:45:31;2020-07-29T01:02:25;Central Ergonomic Concrete Ball;pixel Gorgeous Rubber Cheese quantifying;../fake-data/blob/hipster.png;image/png
6;cross-platform;multi-byte online Forward;open-source;82676;2020-07-29T00:30:18;2020-07-29T02:32:24;Arizona Buckinghamshire;Practical AGP Implementation;../fake-data/blob/hipster.png;image/png
7;wireless navigate grey;solution Automotive;e-commerce Ergonomic Concrete Salad;26246;2020-07-29T02:19:32;2020-07-29T02:56:50;Ergonomic Metal Keyboard full-range Cambridgeshire;Chair National Ukraine;../fake-data/blob/hipster.png;image/png
8;Associate Games;Balboa US Dollar Usability transmit;Incredible Steel Soap Outdoors;84724;2020-07-28T06:48:04;2020-07-28T15:55:50;Industrial Rustic;magenta;../fake-data/blob/hipster.png;image/png
9;transitional;optical Practical;Solutions interactive International;80985;2020-07-28T17:26:08;2020-07-28T09:35:17;Checking Account Vista;Bedfordshire Product;../fake-data/blob/hipster.png;image/png
10;invoice;open system Security;Colombian Peso Unidad de Valor Real executive;30266;2020-07-28T09:39:14;2020-07-28T04:40:49;Sleek Gateway program;invoice index Borders;../fake-data/blob/hipster.png;image/png
